,주소,위도,경도
72,경기 용인시 처인구 금령로 50처인구청,37.23444,127.1991573
73,충북 옥천군 옥천읍 중앙로 99(옥천군청 통합관제 센터 옥상)옥천군청 통합관제 센터 옥상,36.306364,127.5690918
74,충남 당진시 시청1로 1당진시청사,36.8899379,126.6436103
75,강원 영월군 영월읍 팔괴로 7-3능동배수펌프장 부지내 지상,37.1776302,128.4434854
76,경북 포항시 남구 신항로 10청림동주민센터 (청림동),35.9973249,129.4035377
77,충북 청주시 흥덕구 복대동111 산단육거리 교차점광장,36.6314097,127.4231775
78,서울 서초구 강남대로 201서초구민회관 앞 중앙차로,37.4902973,126.9430785
79,경기 안산시 단원구 원선로 91백운동행정복지센터,37.3315976,126.7996478
80,경기 성남시 수정구 희망로 506번길 21단대동행정복지센터,37.4491982,127.1532201
81,경기 구리시 아차산로 439구리시청 구리시의회,37.5942844,127.1275537
82,충남 천안시 서북구 성거읍 천흥8길 7천흥산업단지 관리사무소 주차장,36.8820668,127.2090273
83,경기 화성시 동탄순환대로22길 13예솔초등학교,37.1977237,127.0732468
84,경북 구미시 공단동 256-18 (근로자종합복지회)근로자종합복지회,36.1050525,128.3818497
85,경기 파주시 와석순환로 470한국토지주택공사 파주사업본부,37.7234005,126.7542703
86,경기 안양시 만안구 안양로 384번길 50안양2동 행정복지센터,37.4050151,126.9156532
87,경기 부천시 성오로 172오정어울마당 아트홀,37.527703,126.794383
88,경기 과천시 상하벌로 17과천시 환경사업소,37.4487718,126.9990874
89,경기 평택시 지산2로 113송북동 행정복지센터,37.0815954,127.0580364
90,강원 평창군 평창읍 종부로 61(종부리 504)평창군보건의료원 2층 옥상,37.3605582,128.3871777
91,충남 아산시 모종동 573-2보건소옥상,36.7827142,127.0124101
92,서울 동대문구 천호대로13길 43용두초등학교,37.5745152,127.0186356
93,경남 김해시 호계로 517번길 8(동상동 주민센터),35.2368498,128.8813025
94,경기 수원시 팔달구 신풍로 23번길 68선경도서관,37.283931,127.0082578
95,충북 괴산군 괴산읍 서부리 377-1반석아파트 앞 지상,36.8066697,127.7866682
96,경기 평택시 안중읍 안현로 400안중읍행정복지센터,36.9857715,126.9295237
97,경기 안산시 상록구 각골길 75본오2동행정복지센터,37.2962988,126.870065
98,경기 영통구 법조로 129이의중학교,37.2912645,127.0686129
99,경기 구리시 동구릉로 217-14시립동구어린이집,37.624042,127.1308201
100,충북 충주시 호암동 562(충주시 청소년수련원 옥상)(중원대로 3324)청소년수련원 옥상,36.9646376,127.9243515
101,충북 청주시 흥덕구 직지대로 393(송정동)충북문화재연구원 옥상,36.6447004,127.4346197
