,주소,위도,경도,지역,시군,ID
56,경기 안산시 단원구 대부중앙로 97-9대부동 행정복지센터,37.2436784,126.5831059,경기,안산,안산 단원
57,경기 성남시 분당구 분당로 50분당구청,37.382782,127.11671670000001,경기,성남,성남 분당
58,경기 화성시 향남읍 발안로 89향남읍 행정복지센터,37.132391999999996,126.91813229999998,경기,화성,화성
59,충북 영동군 영동읍 계산로2길 25레인보우도서관 옥상,36.1727729,127.7756498,충북,영동,영동
60,경기 화성시 우정읍 쌍봉로 109-14우정읍 행정복지센터,36.1727729,127.7756498,경기,화성,화성
61,"충북 청주시 청원구 사천동 233-223번지(사뜸로 61번길 88-14), 청주청원도서관 옥상(2층)청주청원도서관 옥상",36.666181,127.47273009999999,충북,청주,청주 청원
62,세종 조치원읍 군청로 87-16(신흥동)세종특별자치시 조치원청사 옥상,37.0191245,126.6584179,세종,세종,세종
63,경북 구미시 산동면 봉산리 567(첨단기업1로 17)구미전자정보기술원 혁신관 옥상(지상3층),37.0191245,126.6584179,경북,구미,구미
64,경기 부천시 삼작로 114구신흥동주민센터,37.5006868,126.71065320000001,경기,부천,부천 삼작
65,인천 계양구 계양산로134번길 18(계산동)계양도서관 옥상,37.5460051,126.72786119999999,인천,계양,인천 계양
66,울산 남구 부두로 9현대자동차 엔진공장,35.515600899999995,129.3649216,울산,남구,울산 남구
67,경기 남양주시 화도읍 비룡로 59화도수동행정복지센터,37.6578222,127.29851299999999,경기,남양주,남양주
68,서울 종로구 종로 169(종묘주차장 앞),37.5710071,126.99369490000001,서울,종로,서울 종로
69,서울 동작구 동작대로 144이수역 북단 버스중앙차로,37.486491,126.9796873,서울,동작,서울 동작
70,서울 관악구 신림동길 14신림동 주민센터,37.487354700000004,126.92491329999999,서울,관악,서울 관악
71,서울 강동구 천호대로 1151길동사거리 강동성모요양병원 앞),37.5345126,127.13627009999999,서울,강동,서울 강동
72,경기 용인시 처인구 금령로 50처인구청,37.23444,127.19915729999998,경기,용인,용인 처인
73,충북 옥천군 옥천읍 중앙로 99(옥천군청 통합관제 센터 옥상)옥천군청 통합관제 센터 옥상,36.306364,127.56909180000001,충북,옥천,옥천
74,충남 당진시 시청1로 1당진시청사,36.88993789999999,126.64361029999999,충남,당진,당진
75,강원 영월군 영월읍 팔괴로 7-3능동배수펌프장 부지내 지상,37.1776302,128.44348540000001,강원,영월,영월
76,경북 포항시 남구 신항로 10청림동주민센터 (청림동),35.9973249,129.40353770000002,경북,포항,포항 남구
77,충북 청주시 흥덕구 복대동111 산단육거리 교차점광장,36.6314097,127.4231775,충북,청주,청주 흥덕
78,서울 서초구 강남대로 201서초구민회관 앞 중앙차로,37.4902973,126.9430785,서울,서초,서울 서초
79,경기 안산시 단원구 원선로 91백운동행정복지센터,37.3315976,126.79964779999999,경기,안산,안산 단원
80,경기 성남시 수정구 희망로 506번길 21단대동행정복지센터,37.449198200000005,127.15322009999998,경기,성남,성남 수정
81,경기 구리시 아차산로 439구리시청 구리시의회,37.5942844,127.1275537,경기,구리,구리
